Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
Master Card,Chase,5139853542793802,Jim D Mcdowell,930,02/2012,02/2023,15,5047,104000
Master Card,USAA,5110404734772130,Julia P Morales,720,03/2013,03/2033,11,1329,167800
Diners Club International,Diners Club,30570066780665,Bettie P Cabrera,414,10/2013,10/2030,20,8520,95000
Diners Club International,Diners Club,30278274885215,John Cline,060,12/2009,12/2022,28,0711,40300
Japan Credit Bureau,JCB,3579807149252853,Helen A Johnson,299,07/2015,07/2017,21,7221,13400
Diners Club International,Diners Club,30925586830590,Terry Glover,502,02/2015,02/2034,6,5318,85000
Diners Club International,Diners Club,30480386373292,German Y Mccullough,579,06/2008,06/2017,9,7522,123200
Visa,Bank of America,4897160883588550,Karen K Gaines,350,04/2014,04/2030,15,3296,93300
American Express,American Express,378703093039710,Willis I Dejesus,4785,11/2008,11/2014,13,3189,59500
American Express,American Express,375070520627597,Terry R Giles,8791,07/2009,07/2012,10,8745,139800
Diners Club International,Diners Club,30305553497485,Erick E Bass,019,12/2009,12/2015,9,5750,187900
Master Card,Citibank,5227715153082598,Ana W Torres,986,01/2010,01/2017,12,5588,20000
Master Card,Citibank,5164862262876596,Maria V Stone,763,04/2015,04/2018,6,7888,155400
Diners Club International,Diners Club,30979864877856,Clara R George,694,03/2014,03/2027,1,2423,81300
Diners Club International,Diners Club,30394341734383,Brock V Thomas,497,07/2014,07/2034,19,3887,103200
Visa,Bank of America,4186081890126103,Jason V Prince,915,09/2007,09/2016,6,6159,151700
Visa,USAA,4511116483045363,Elinor J Pruitt,560,02/2012,02/2031,14,3726,174700
Visa,Chase,4773776482327022,Leslie N Dixon,442,09/2017,09/2020,17,4754,158400
Master Card,Chase,5344255898967017,Nolan P Roman,013,10/2013,10/2017,2,9855,84700
Diners Club International,Diners Club,30111676743148,Lauren W Lewis,092,03/2013,03/2018,5,1873,186500
Diners Club International,Diners Club,30526810019867,Laverne Keith,786,01/2011,01/2028,10,8238,179700
Japan Credit Bureau,JCB,3548198067156930,Harry K Rollins,238,06/2016,06/2024,19,8759,53600
Visa,Chase,4115479996332177,Frances Cook,027,08/2014,08/2023,1,7715,146200
Master Card,GE Capital,5226497235977464,Samantha G Wiley,101,05/2015,05/2031,27,1164,47500
Diners Club International,Diners Club,30212626855139,Irwin N Brewer,307,10/2016,10/2024,7,4242,127200
Master Card,Chase,5375080458959317,Dennis K Nixon,484,07/2009,07/2016,22,1609,145600
Japan Credit Bureau,JCB,3574196819767969,Claudia S Salas,132,12/2011,12/2024,17,9081,114400
Visa,Capital One,4929589922718947,Beth Guy,843,09/2017,09/2035,24,9823,28900
American Express,American Express,342092922334309,Brenda Holder,8310,12/2016,12/2025,1,2496,192800
Visa,Citibank,4162924593701862,Marjorie O Marsh,012,12/2017,12/2037,3,6656,157200
Discover,Discover,6586215409411181,Anibal S Dudley,074,11/2012,11/2017,22,7019,71700
Japan Credit Bureau,JCB,3545616405941005,Anthony Q Santana,804,11/2009,11/2019,2,9274,37800
Discover,Discover,6011493803531608,Cody Andrews,223,06/2007,06/2017,11,6852,191300
Japan Credit Bureau,JCB,3533102722915794,Chad C Webster,775,01/2007,01/2026,13,7966,133400
American Express,American Express,374221290806975,Jonah R Dickson,2170,03/2012,03/2024,20,2457,85700
Discover,Discover,6454302581682166,Jean P Russell,227,02/2012,02/2031,15,7356,25600
American Express,USAA,341547949989881,Rickie O Solis,0854,04/2014,04/2033,10,1915,185700
Discover,Discover,6011242676449848,Matthew Z Boone,907,03/2017,03/2036,16,7348,134600
Japan Credit Bureau,JCB,3572505261123525,Herbert Jones,638,04/2009,04/2018,20,3092,176900
Diners Club International,Diners Club,30176037370840,Edwin L Mann,967,05/2017,05/2020,18,1606,85500
Diners Club International,Diners Club,39681488549165,Cara E Fox,531,09/2017,09/2033,2,3200,193000
Japan Credit Bureau,JCB,3582021158843462,Peter F Burnett,381,01/2015,01/2027,18,3888,168700
Diners Club International,Diners Club,30057394848281,Chang Molina,681,05/2010,05/2023,24,4793,143200
Master Card,Chase,5141207127721025,Jimmy H Blake,957,04/2013,04/2032,14,5041,28200
American Express,American Express,375829569045049,Virgil B Snider,1787,02/2009,02/2022,3,9783,128300
Master Card,Capital One,5412695732692197,Carrie M Bond,370,08/2014,08/2029,1,5977,170600
Visa,Chase,4651161348246582,Rene C Rasmussen,648,08/2011,08/2017,15,5510,192300
Diners Club International,Diners Club,30528658695451,Dan Q Brewer,946,08/2010,08/2030,3,4436,144700
American Express,USAA,345007392884606,Aurelia Z Castillo,6942,06/2011,06/2026,13,9463,175200
Discover,Discover,6011722173339188,Charlie I Allen,395,07/2011,07/2025,10,5846,28100
Master Card,Bank of America,5247348528090579,Alfreda X Robles,444,07/2008,07/2010,15,1679,101600
Master Card,Chase,5361522324410260,Alex D Robbins,025,08/2008,08/2020,13,1106,116900
Discover,Discover,6501381246178607,Wendell N Mcdaniel,376,09/2010,09/2023,13,6415,64900
Visa,Capital One,4222830914112424,Arthur W Vargas,530,04/2015,04/2030,18,6592,37400
Master Card,Capital One,5319492255578654,Rickey T Whitley,872,08/2007,08/2023,7,7129,135900
Master Card,Citibank,5326821898816173,Elaine I Sanders,533,03/2009,03/2013,22,4192,65500
Master Card,Citibank,5265710183820839,Tammy Foster,394,08/2008,08/2020,8,1349,112300
Japan Credit Bureau,JCB,3548430137831758,Charlotte P Edwards,543,08/2008,08/2011,28,1714,73400
American Express,American Express,378731626423119,Rosanne U Levine,0224,06/2016,06/2035,1,4488,111500
Diners Club International,Diners Club,30154586840612,Rick Cohen,565,10/2008,10/2018,10,6436,125600
Diners Club International,Diners Club,30913227077045,Walter U Macias,108,12/2013,12/2024,8,4162,19000
Master Card,Bank of America,5119383095187214,Walter K Shannon,422,04/2012,04/2017,6,7145,139900
Visa,Chase,4702920140724677,Brigitte Alexander,908,08/2014,08/2015,26,9087,29100
American Express,American Express,379701958244564,Calvin Bolton,0401,01/2009,01/2019,7,2464,69200
Visa,Cabela’s WFB,4660530843368753,Dorthy Gibbs,036,07/2013,07/2022,5,9098,195500
Diners Club International,Diners Club,30118445202090,Annie Q Charles,222,02/2017,02/2032,26,5777,15700
American Express,USAA,371392278175049,Ebony G Atkins,5637,06/2010,06/2029,18,5372,183700
Japan Credit Bureau,JCB,3528626778357250,Jerry Curtis,348,11/2008,11/2015,17,9570,116600
American Express,American Express,375766419606820,Wesley Gill,6542,12/2007,12/2019,20,2403,88400
Visa,Bank of America,4413693556410038,Sylvia Scott,969,01/2014,01/2021,23,4498,89700
Visa,Citibank,4570176581364718,Rob Bailey,976,02/2013,02/2014,23,5803,181300
Discover,Discover,6011846676772783,Melanie A Clay,859,12/2009,12/2021,26,0993,83200
Visa,Citibank,4731243283651085,Stefanie Conner,821,07/2010,07/2014,12,2480,167700
American Express,American Express,373900028315828,Sharon E Douglas,0664,02/2016,02/2028,1,3721,151400
Japan Credit Bureau,JCB,3551185013763889,Jarvis N Thornton,746,06/2007,06/2016,11,2266,94400
American Express,American Express,378825147144830,Robert H Wallace,4037,05/2016,05/2030,21,1704,96000
Japan Credit Bureau,JCB,3538560088073679,Sterling Q Weber,745,09/2014,09/2023,20,2549,159800
Japan Credit Bureau,JCB,3561963693010013,Brent Landry,813,04/2007,04/2010,5,9417,131200
Discover,Discover,6011122658174723,Salvatore Cash,682,02/2007,02/2023,8,9977,144400
Discover,Discover,6229083268602123,Denise Mccullough,118,04/2017,04/2033,15,6679,25900
Japan Credit Bureau,JCB,3571634840023278,Desiree W Navarro,061,04/2011,04/2024,7,5797,178700
Master Card,Capital One,5391204255678264,Charlie Rivera,974,07/2015,07/2031,2,7642,126500
Visa,Wells Fargo,4382555160841709,Heriberto A Donaldson,004,11/2009,11/2023,11,3887,50600
Visa,Chase,4271304242455947,Willie C Hobbs,930,02/2012,02/2021,24,1691,108500
American Express,American Express,371973980185606,Glenda Stephens,9920,02/2017,02/2028,12,3042,194500
American Express,American Express,341610175993363,Dawn Thornton,7160,02/2017,02/2026,7,1575,96000
Discover,Discover,6011336244325074,Travis A Mcgee,347,08/2012,08/2015,24,7590,138600
American Express,American Express,372180939579660,Kathryn N Vasquez,2943,02/2012,02/2018,20,6579,91900
Japan Credit Bureau,JCB,3538659913914808,Kent X Barlow,056,08/2011,08/2016,10,2882,119600
Master Card,Chase,5102339652938349,Tammy Y Wall,986,08/2013,08/2028,9,1041,171900
Diners Club International,Diners Club,30137434670182,Guadalupe V Barlow,090,11/2007,11/2015,12,4731,24400
Visa,GE Capital,4082240325389448,Ana U Hubbard,118,07/2010,07/2012,5,1039,142300
Japan Credit Bureau,JCB,3585712232565785,Terrence V Horn,728,02/2017,02/2032,23,4356,132600
Visa,USAA,4725178921026324,Clarence Bray,752,06/2012,06/2017,20,4550,68100
Discover,Discover,6440766843625618,Esperanza T Hall,707,05/2010,05/2030,4,2906,197200
Japan Credit Bureau,JCB,3546229716693098,Carrie V Schroeder,455,01/2016,01/2034,9,2902,86700
Visa,Bank of America,4155228798497246,Kathryn Morton,669,09/2009,09/2019,16,2099,98800
Master Card,Bank of America,5161569377404866,Roberta M Russell,309,02/2008,02/2024,25,3825,58300
American Express,American Express,341461560633838,Ruben Lynch,1206,12/2010,12/2013,11,0076,38600
Japan Credit Bureau,JCB,3544587926546832,Carol Owen,767,02/2010,02/2021,12,8915,34000
Discover,Discover,6011024098475050,Jerrold Schwartz,172,06/2010,06/2023,2,3997,179000
Diners Club International,Diners Club,30930313668388,Dean King,524,01/2010,01/2013,12,0830,98800
Japan Credit Bureau,JCB,3576308256142998,Erwin I Stafford,781,01/2015,01/2017,1,3468,71000
Master Card,Capital One,5447200931872846,Timothy Sampson,366,05/2008,05/2016,4,8019,92200
Discover,Discover,6011042662446877,Marian Q England,761,07/2017,07/2029,5,1344,155900
Master Card,Capital One,5493012878510534,Debbie K Cunningham,929,06/2010,06/2023,15,7307,141400
Visa,PNC,4190273189893402,Carey Y Galloway,248,08/2012,08/2015,24,0982,71400
Diners Club International,Diners Club,38684945532320,Jesus D Frank,116,02/2010,02/2018,12,7138,134400
Diners Club International,Diners Club,36662644804663,Tyree V Williamson,605,11/2014,11/2017,6,1499,137200
Diners Club International,Diners Club,30940175014506,Ray J Fry,441,07/2008,07/2023,26,6804,111800
Japan Credit Bureau,JCB,3531398635076870,Reid T Mueller,536,01/2012,01/2020,10,5101,84300
American Express,American Express,371039574010913,Joanne Mayo,2367,01/2012,01/2014,6,9453,181300
Discover,Discover,6011865083713842,Gale T Winters,541,11/2012,11/2025,12,3043,167400
American Express,USAA,379531652917094,Martin N Stafford,6964,05/2015,05/2034,22,9207,126600
Diners Club International,Diners Club,30978865968938,Kennith N Shepherd,261,04/2007,04/2014,15,9290,151500
Japan Credit Bureau,JCB,3536642895832190,Christine Pennington,753,10/2016,10/2026,19,5187,72100
Discover,Discover,6465133877913685,Melissa Walton,032,04/2015,04/2018,12,3431,75400
Master Card,GE Capital,5390234951584194,Robert T Acosta,906,02/2015,02/2026,28,7771,187900
Japan Credit Bureau,JCB,3543150080507610,Janice B Holt,317,10/2014,10/2021,8,6911,89000
Master Card,Citibank,5407126714404994,Florence Burt,149,08/2009,08/2015,13,4885,132600
Diners Club International,Diners Club,39815658238445,Debora U Hart,469,01/2013,01/2021,4,9154,131500
Visa,Chase,4441311297848335,Dorothy Q Shepherd,637,03/2011,03/2024,21,8651,114300
Diners Club International,Diners Club,30538480147944,Geneva Nunez,698,09/2008,09/2015,20,2622,72800
Japan Credit Bureau,JCB,3586737343955434,Wendy I Todd,287,01/2014,01/2024,16,5196,180000
Master Card,Chase,5149256903423613,Sang Q Savage,837,04/2012,04/2025,22,8391,40600
Master Card,Chase,5179726011949413,Brandon F Harding,656,10/2011,10/2031,4,2935,90600
Discover,Discover,6011272908477903,Lindsey F Oneill,189,02/2007,02/2025,26,6288,130300
Japan Credit Bureau,JCB,3551264218690674,Shannon P Hess,165,05/2014,05/2032,2,7152,96300
Japan Credit Bureau,JCB,3551008995278322,Rosie M Goodman,495,03/2016,03/2031,6,6167,73400
Diners Club International,Diners Club,30331153245462,Maurice Love,643,12/2013,12/2026,10,1172,124400
Master Card,Citibank,5173537662828343,Tracey X Whitney,970,07/2013,07/2025,25,9382,60200
Master Card,Capital One,5280758371758742,Hector A Justice,239,01/2017,01/2023,8,6953,69000
Master Card,Citibank,5132603403271894,Concepcion Holmes,070,07/2007,07/2020,15,2009,154600
Diners Club International,Diners Club,30516246407224,Frances N Schwartz,825,05/2011,05/2016,27,0406,120500
Master Card,Bank of America,5404176029120481,Shawn Hatfield,905,03/2014,03/2024,21,3898,160900
Japan Credit Bureau,JCB,3531471441509598,Patrick B Cherry,388,02/2010,02/2024,3,9247,118600
Discover,Discover,6011143806045979,Gwendolyn G Espinoza,062,03/2007,03/2008,26,0102,139600
Japan Credit Bureau,JCB,3582675066969733,Wayne I Lyons,885,10/2008,10/2013,5,3707,192100
Japan Credit Bureau,JCB,3556258727211688,Nora G Sosa,109,07/2017,07/2037,5,3753,103700
American Express,Bank of America,340359605129187,Miguel A West,3208,07/2017,07/2030,25,2907,54100
American Express,USAA,372634215424793,Edna Gordon,9122,07/2012,07/2020,20,1946,137700
Japan Credit Bureau,JCB,3546841283958330,Tyler Q Vasquez,069,07/2008,07/2020,24,2201,70600
American Express,American Express,377770308211682,Adele Dawson,6079,08/2011,08/2028,4,8693,136800
Master Card,Citibank,5493418347169101,Allen H Valdez,735,04/2012,04/2014,27,9319,46500
